Customer ID,Age,Region,Subscription,Tenure,Monthly Revenue,Total Revenue,Usage,Sessions,Support Tickets,Payment Method,Churn
C00001,58,West,Basic,7,87.54,612.75,43.3,9,3,Wallet,No
C00002,68,North,Basic,56,34.8,1948.95,13.4,14,2,Bank,No
C00003,70,North,Plus,48,91.67,4400.08,18.6,6,2,Bank,No
C00004,56,North,Basic,32,58.41,1869.15,83.3,8,2,Wallet,No
C00005,62,West,Basic,32,89.99,2879.71,21.8,13,3,Card,No
C00006,44,North,Basic,62,45.97,2850.14,25.3,17,2,Bank,No
C00007,60,West,Plus,7,98.57,690.0,78.1,10,1,Wallet,No
C00008,36,East,Basic,51,110.61,5641.25,97.3,14,0,Bank,No
C00009,58,North,Basic,15,65.42,981.31,23.9,19,0,Card,No
C00010,22,West,Basic,7,56.58,396.04,38.4,11,1,Wallet,No
C00011,70,North,Basic,38,31.1,1181.78,51.1,9,0,Wallet,No
C00012,31,North,Premium,71,78.34,5562.12,76.1,6,3,Card,No
C00013,55,East,Basic,53,70.46,3734.39,27.2,8,2,Card,No
C00014,18,South,Plus,55,46.22,2542.35,40.6,8,0,Wallet,Yes
C00015,26,South,Plus,52,96.33,5008.92,59.0,8,1,Card,No
C00016,74,North,Basic,57,73.75,4203.79,52.8,9,2,Wallet,No
C00017,65,East,Premium,37,58.11,2149.94,38.2,7,0,Card,No
C00018,30,North,Plus,10,71.14,711.36,42.6,14,2,Wallet,No
C00019,25,North,Plus,61,111.78,6818.74,20.3,11,3,Wallet,No
C00020,64,East,Basic,33,100.07,3302.42,40.7,9,1,Bank,No
C00021,74,South,Basic,37,81.75,3024.73,40.2,6,1,Card,No
C00022,27,East,Premium,27,100.48,2712.9,49.2,11,2,Bank,No
C00023,55,North,Plus,14,55.98,783.68,35.0,10,1,Wallet,No
C00024,34,East,Premium,67,85.81,5749.22,53.5,11,1,Wallet,No
C00025,60,West,Premium,57,88.68,5054.93,63.2,8,2,Card,No
C00026,41,South,Basic,47,73.25,3442.94,47.8,10,3,Bank,No
C00027,25,South,Plus,29,95.89,2780.71,51.3,9,2,Wallet,No
C00028,36,East,Plus,60,65.49,3929.35,46.0,8,0,Card,No
C00029,48,East,Plus,40,97.75,3909.82,45.0,8,2,Wallet,No
C00030,63,North,Basic,32,98.8,3161.49,32.0,13,0,Card,Yes
C00031,19,East,Basic,33,20.0,660.0,50.7,12,2,Wallet,No
C00032,72,North,Plus,17,114.76,1950.88,43.2,11,0,Card,No
C00033,55,East,Plus,7,20.0,140.0,82.7,14,1,Card,No
C00034,67,West,Plus,40,69.6,2783.95,73.3,8,0,Bank,No
C00035,71,East,Basic,64,110.63,7080.56,51.9,17,2,Bank,No
C00036,26,West,Basic,5,77.07,385.34,31.3,19,3,Card,No
C00037,23,South,Premium,62,48.35,2997.41,25.0,14,3,Bank,No
C00038,62,West,Basic,60,57.66,3459.39,66.4,17,1,Card,No
C00039,28,West,Basic,20,110.67,2213.45,49.7,10,3,Wallet,No
C00040,26,West,Plus,46,36.96,1700.27,53.6,12,0,Card,No
C00041,44,East,Basic,12,113.22,1358.7,13.6,11,1,Bank,No
C00042,70,East,Plus,55,83.62,4599.23,61.7,16,2,Wallet,No
C00043,63,East,Basic,51,55.19,2814.7,53.2,16,2,Card,Yes
C00044,47,West,Premium,26,70.42,1830.98,25.0,15,2,Card,Yes
C00045,29,West,Premium,5,59.57,297.85,36.5,18,2,Wallet,Yes
C00046,37,South,Premium,70,106.66,7465.89,49.7,9,0,Card,No
C00047,57,North,Plus,33,103.31,3409.25,45.9,9,1,Wallet,No
C00048,26,North,Basic,65,42.02,2731.36,39.7,14,0,Bank,No
C00049,47,North,Plus,49,74.91,3670.6,43.1,11,0,Wallet,No
C00050,18,North,Premium,57,63.42,3614.96,40.5,16,1,Card,No
C00051,36,North,Plus,55,117.34,6453.58,47.7,20,1,Card,No
C00052,32,North,Plus,15,51.25,768.71,71.5,14,0,Wallet,No
C00053,56,West,Plus,27,125.11,3377.85,1.0,13,2,Wallet,No
C00054,70,North,Plus,34,84.17,2861.7,40.7,15,0,Wallet,No
C00055,26,East,Plus,36,55.95,2014.26,48.2,8,0,Card,No
C00056,63,South,Basic,4,68.07,272.27,50.3,14,1,Bank,Yes
C00057,55,North,Plus,40,64.96,2598.38,38.3,8,0,Bank,No
C00058,73,East,Plus,12,53.13,637.61,13.4,11,0,Bank,No
C00059,69,West,Basic,54,87.37,4718.02,50.9,13,3,Card,No
C00060,23,West,Premium,50,54.3,2715.11,76.1,11,0,Bank,No
C00061,60,West,Plus,67,30.49,2042.89,17.4,9,0,Bank,No
C00062,51,East,Basic,54,75.51,4077.44,60.5,10,1,Card,No
C00063,24,East,Premium,27,39.93,1078.07,39.1,18,5,Bank,No
C00064,32,North,Plus,70,66.2,4633.72,43.9,13,0,Card,No
C00065,70,West,Plus,30,62.27,1868.17,26.0,8,1,Card,No
C00066,48,East,Basic,24,63.22,1517.27,39.0,8,0,Card,No
C00067,37,South,Premium,66,135.02,8911.59,68.4,10,3,Bank,No
C00068,36,South,Basic,27,86.41,2333.08,55.5,13,0,Card,Yes
